bid,mutK,new_mutK
18,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-126,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-126
20,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-184,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-184
20,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-277,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-277
20,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-278,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-278
20,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-282,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveInputStream-276
14,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4
14,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5
14,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-34,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-34
14,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3
21,src.main.java.org.apache.commons.compress.archivers.sevenz.SevenZOutputFile-41,src.main.java.org.apache.commons.compress.archivers.sevenz.SevenZOutputFile-41
21,src.main.java.org.apache.commons.compress.archivers.sevenz.SevenZOutputFile-196,src.main.java.org.apache.commons.compress.archivers.sevenz.SevenZOutputFile-196
8,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-4
8,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-5
8,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-35,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-35
8,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-3
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-42
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-47
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-55,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-39
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-56,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-43
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-57,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-44
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-113
31,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1
28,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-184,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-184
28,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-235,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-232
28,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-223,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveInputStream-223
4,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-55,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-55
4,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-60,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-60
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-20,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-20
4,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-106,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-106
4,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-108,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-108
4,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-109,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-109
4,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-110,src.main.java.org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream-110
4,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-71,src.main.java.org.apache.commons.compress.archivers.tar.TarArchiveOutputStream-56
4,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-56,src.main.java.org.apache.commons.compress.archivers.cpio.CpioArchiveOutputStream-56
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-41,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-41
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-43,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-43
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-46,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-46
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-48,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-48
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-56,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-40
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-57,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-44
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-58,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-45
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-114,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-114
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-1
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-235,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-235
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-237,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-237
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-249,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-249
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-252,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-252
17,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-198,src.main.java.org.apache.commons.compress.archivers.tar.TarUtils-192
