bid,k,all,killed,timed_out,no_covg,non_viable,memory_error,run_error,survived,MathMutator,ConditionalsBoundaryMutator,IncrementsMutator,InvertNegsMutator,NegateConditionalsMutator,VoidMethodCallMutator,PrimitiveReturnsMutator,EmptyObjectReturnValsMutator,BooleanFalseReturnValsMutator,BooleanTrueReturnValsMutator,NullReturnValsMutator
66,66-76fcbc83,104,87,0,0,0,0,0,17,41,21,0,6,28,6,2,0,0,0,0
43,43-dcae84b2,117,76,0,14,0,0,0,27,18,3,0,0,29,40,13,1,1,2,10
5,5-e54a1c92,296,266,1,8,0,0,0,21,90,10,1,6,85,5,11,4,4,5,75
4,4-277e6172,38,33,0,0,0,0,0,5,2,5,0,0,22,0,0,2,0,0,7
59,59-5dcca480,2248,1433,190,291,0,0,0,334,1483,121,10,147,308,26,153,0,0,0,0
19,19-c73fad0a,455,252,34,23,0,0,0,146,175,84,28,4,117,16,4,4,1,1,21
13,13-8079ea5b,50,36,1,7,0,0,0,6,7,8,5,0,11,2,4,0,0,0,13
82,82-4ece1884,53,46,2,2,0,0,0,3,5,11,3,0,18,7,0,2,3,3,1
63,63-d2a5bc02,612,478,35,49,0,0,0,50,172,102,17,13,209,4,76,0,3,12,4
91,91-e1df5f54,123,103,0,3,0,0,0,17,32,17,1,5,45,0,7,0,1,1,14
101,101-32643d19,78,59,0,7,0,0,0,12,4,9,1,1,26,18,1,2,0,0,16
75,75-523df0c1,77,0,0,77,0,0,0,0,7,3,0,0,24,6,29,1,2,4,1
50,50-39cf5e69,54,37,0,0,0,0,0,17,15,7,0,0,15,1,16,0,0,0,0
106,106-41ba9e00,33,22,0,4,0,0,0,7,5,2,0,0,8,13,0,0,0,0,5
76,76-39e2ad8a,110,63,0,37,0,0,0,10,40,20,12,0,27,0,3,0,0,0,8
33,33-3ef79313,182,157,2,13,0,0,0,10,41,20,12,0,60,22,14,3,2,3,5
47,47-330f3fe1,254,209,23,10,0,0,0,12,78,5,1,4,74,5,11,4,4,5,63
87,87-75f5c92a,150,130,0,16,0,0,0,4,47,11,9,0,44,12,15,3,1,3,5
53,53-7707b0bb,222,196,8,4,0,0,0,14,74,5,1,4,59,5,11,4,4,5,50
60,60-9054aac4,43,33,5,0,0,0,0,5,14,7,0,0,9,0,13,0,0,0,0
17,17-621806b7,1061,939,58,59,0,0,0,5,316,107,88,10,359,43,29,7,0,23,79
6,6-419a052c,1031,754,36,40,0,0,0,201,362,194,95,11,272,47,9,4,1,1,35
24,24-d5ff460b,115,91,0,2,0,0,0,22,41,23,1,7,37,0,0,0,0,0,6
7,7-1cd68eed,65,57,2,1,0,0,0,5,2,2,0,0,19,31,8,3,0,0,0
28,28-d3fc5af3,59,41,3,0,0,0,0,15,6,12,4,0,24,7,0,5,0,0,1
49,49-09e35881,282,186,0,34,0,0,0,62,51,20,4,2,76,69,19,0,4,9,28
71,71-6537e18a,179,109,43,0,0,0,0,27,52,20,11,2,45,44,5,0,0,0,0
61,61-f76efe5f,23,21,0,0,0,0,0,2,5,3,0,2,6,0,7,0,0,0,0
57,57-00fea9d8,45,31,6,0,0,0,0,8,3,11,2,0,18,4,0,3,0,0,4
22,22-b0cba9a7,95,85,1,0,0,0,0,9,48,10,0,0,11,0,20,0,4,2,0
30,30-a25e7f7a,33,30,0,0,0,0,0,3,19,1,0,0,5,4,3,0,0,0,1
3,3-92c46973,572,448,7,77,0,0,0,40,320,56,20,0,116,10,12,0,7,18,13
70,70-f41fcd85,16,10,0,1,0,0,0,5,2,3,1,0,3,3,4,0,0,0,0
64,64-7dadc2ab,397,344,4,6,0,0,0,43,145,80,45,5,102,17,0,0,0,0,3
8,8-196e6317,30,21,0,4,0,0,0,5,3,8,1,0,12,1,1,1,0,0,3
78,78-b3ed2415,80,42,6,7,0,0,0,25,17,14,2,1,30,5,4,0,1,5,1
68,68-615ca9a0,390,339,6,6,0,0,0,39,145,78,44,5,100,15,0,0,0,0,3
37,37-65ed08e1,296,265,1,9,0,0,0,21,90,10,1,6,85,5,11,4,4,5,75
14,14-a6b2e992,32,28,1,2,0,0,0,1,3,4,3,0,8,2,3,0,0,0,9
65,65-a4f9188a,66,59,0,3,0,0,0,4,18,11,7,1,14,4,7,0,0,0,4
34,34-520f36b4,27,18,0,4,0,0,0,5,1,8,0,0,10,1,2,3,0,0,2
104,104-e39a7750,71,58,6,0,0,0,0,7,30,13,1,2,20,0,5,0,0,0,0
11,11-aa2bd1d0,48,41,0,4,0,0,0,3,8,11,7,0,14,2,2,0,0,0,4
29,29-7bbddc22,237,189,0,11,0,0,0,37,40,17,5,1,72,52,16,0,4,9,21
20,20-efa9de05,448,244,38,23,0,0,0,143,173,83,28,4,115,14,4,4,1,1,21
31,31-2d846db3,24,15,4,2,0,0,0,3,8,3,1,0,8,0,4,0,0,0,0
89,89-62b3877f,57,0,0,57,0,0,0,0,5,3,0,0,17,6,24,1,0,0,1
54,54-c00ac812,1011,921,31,58,0,0,0,1,311,101,89,10,338,38,29,7,0,13,75
44,44-53c8cec5,60,51,3,1,0,0,0,5,2,2,0,0,15,30,8,3,0,0,0
10,10-7e2ffcc9,702,651,2,0,0,0,0,49,332,98,50,10,143,50,7,0,0,0,12
73,73-29c3b75e,117,74,0,8,0,0,0,35,41,24,1,2,27,11,11,0,0,0,0
83,83-f36be8e8,154,134,0,16,0,0,0,4,47,11,9,0,45,12,16,5,1,3,5
62,62-8de3eb54,25,17,0,4,0,0,0,4,8,1,1,0,4,5,2,0,0,0,4
16,16-875ed1f4,2402,1803,259,48,0,0,0,292,1462,158,10,133,393,14,232,0,0,0,0
102,102-a1bac127,150,0,0,150,0,0,0,0,44,30,6,0,46,6,6,0,4,7,1
2,2-c0b655ac,64,60,2,1,0,0,0,1,24,11,0,0,13,0,14,0,1,0,1
56,56-e06fe05e,48,41,1,4,0,0,0,2,11,11,7,0,12,0,3,1,0,0,3
23,23-f1b04e99,115,94,0,2,0,0,0,19,41,23,1,7,37,0,0,0,0,0,6
94,94-a96e5978,307,96,17,186,0,0,0,8,78,52,4,8,104,0,56,0,1,4,0
99,99-58b5609f,405,139,17,223,0,0,0,26,106,74,11,8,134,0,66,0,1,5,0
95,95-fbf87122,27,23,1,0,0,0,0,3,8,4,0,0,6,2,7,0,0,0,0
40,40-c8becc7c,144,118,1,0,0,0,0,25,60,22,11,0,30,8,13,0,0,0,0
69,69-a2711c18,64,61,0,0,0,0,0,3,13,12,8,1,15,8,1,0,0,0,6
105,105-fc21b26f,95,0,0,95,0,0,0,0,54,8,0,1,9,1,21,0,0,0,1
46,46-e6f27ebc,252,204,26,11,0,0,0,11,78,5,1,4,72,5,11,4,4,5,63
